NAME;COUNTRY;LAT;LON;COST
ATLANTA;NA;33.749099;-84.390185;0.16
CHICAGO;NA;41.875555;-87.624421;0.16
MIAMI;NA;25.774266;-80.193659;0.16
PHOENIX;NA;33.448587;-112.077346;0.16
SEATTLE;NA;47.603832;-122.330062;0.16
SAN PAOLO;SA;-23.5506507;-46.6333824;0.24
FRANKFURT;EU;50.110644;8.682092;0.17
HELSINKI;EU;60.167409;24.942568;0.17
LONDON;EU;51.507322;-0.127647;0.17
PALERMO;EU;38.111227;13.352443;0.17
VARSAVIA;EU;52.231924;21.006727;0.17
JOHANNESBURG;AF;-26.205;28.049722;0.25
HONG KONG;AS;22.350627;114.184916;0.32
MUMBAI;AS;18.938754;72.835238;0.32
NEW DELHI;AS;28.614179;77.202266;0.32
SEOUL;AS;37.566679;126.978291;0.32
SINGAPORE;AS;1.290475;103.852036;0.32
MELBOURNE;OC;-37.814218;144.963161;0.35
